## Burnley FC — Musim 23/24

| # | Pemain | Posisi | Usia | Kebangsaan | Klub Saat Ini | Nilai Pasar |
|---|--------|--------|------|------------|----------------|-------------|
| 1 | James Trafford | Kiper | 21 | England | Leeds United | €18.00m |
| 49 | Arijanet Murić | Kiper | 25 | Kosovo/Montenegro | US Sassuolo | €7.00m |
| 29 | Lawrence Vigouroux | Kiper | 30 | Chile/England | Swansea City | €300k |
| 20 | Denis Franchi | Kiper | 21 | Italy | Potenza Calcio | €250k |
| 5 | Jordan Beyer | Bek Tengah | 24 | Germany | Burnley FC | €13.00m |
| 28 | Ameen Al-Dakhil | Bek Tengah | 22 | Belgium/Iraq | VfB Stuttgart | €12.00m |
| 2 | Dara O'Shea | Bek Tengah | 25 | Ireland | Ipswich Town | €7.00m |
| 18 | Hjalmar Ekdal | Bek Tengah | 25 | Sweden | Burnley FC | €7.00m |
| 33 | Maxime Estève | Bek Tengah | 22 | France | RB Leipzig | €7.00m |
| 44 | Hannes Delcroix | Bek Tengah | 25 | Haiti/Belgium | FC Lugano | €4.00m |
| - | Luke McNally | Bek Tengah | 24 | Ireland | Bristol City | €3.80m |
| 6 | CJ Egan-Riley | Bek Tengah | 21 | England/Ireland | Olympique Marseille | €1.50m |
| 3 | Charlie Taylor | Bek Kiri | 30 | England | Derby County | €3.00m |
| 20 | Lorenz Assignon | Bek Kanan | 24 | France/Togo | VfB Stuttgart | €10.00m |
| 14 | Connor Roberts | Bek Kanan | 28 | Wales | Burnley FC | €7.00m |
| 22 | Vitinho | Bek Kanan | 24 | Brazil | Botafogo | €5.00m |
| 16 | Sander Berge | Gelandang Bertahan | 26 | Norway | Fulham FC | €20.00m |
| 4 | Jack Cork | Gelandang Bertahan | 35 | England | Burnley FC U21 | €800k |
| 8 | Josh Brownhill | Gelandang Tengah | 28 | England | Al-Shabab FC | €15.00m |
| 24 | Josh Cullen | Gelandang Tengah | 28 | Ireland/England | Burnley FC | €10.00m |
| 42 | Han-Noah Massengo | Gelandang Tengah | 22 | France/Congo | FC Augsburg | €4.00m |
| 21 | Aaron Ramsey | Gelandang Serang | 21 | England | Burnley FC | €15.00m |
| 31 | Mike Tresor | Gelandang Serang | 25 | Belgium/Burundi | Burnley FC | €12.00m |
| - | Scott Twine | Gelandang Serang | 24 | England | Bristol City | €3.00m |
| 47 | Wilson Odobert | Sayap Kiri | 19 | France/Martinique | Tottenham Hotspur | €10.00m |
| 19 | Anass Zaroury | Sayap Kiri | 23 | Morocco/Belgium | Panathinaikos | €9.00m |
| 34 | Jacob Bruun Larsen | Sayap Kiri | 25 | Denmark | Burnley FC | €8.00m |
| 27 | Darko Churlinov | Sayap Kiri | 23 | North Macedonia | Pogon Szczecin | €1.50m |
| - | Dara Costelloe | Sayap Kiri | 21 | Ireland | Wigan Athletic | €325k |
| 30 | Luca Koleosho | Sayap Kanan | 19 | Italy/United States | Paris FC | €7.00m |
| 10 | Manuel Benson | Sayap Kanan | 27 | Angola/Belgium | Maccabi Haifa | €5.00m |
| 15 | Nathan Redmond | Sayap Kanan | 30 | England/Jamaica | Tanpa Klub | €5.00m |
