team,promoted,releg_start,releg_now,shift_so_far,matchdays_to_10pt,reached,slope_per_md
Coventry City,True,0.4373,0.7009,0.26359999999999995,0.6583278472679398,True,0.08709000000000001
Hull City,True,0.5234,0.3467,-0.17669999999999997,1.2960288808664262,True,-0.06409
Ipswich Town,True,0.4791,0.5699,0.09079999999999994,2.8901734104046284,False,0.03459999999999995
Fulham,False,0.2144,0.3001,0.08569999999999997,3.4965034965034993,False,0.02859999999999998
Newcastle Utd,False,0.1439,0.0845,-0.059399999999999994,4.585052728106375,False,-0.021809999999999993
Sunderland,False,0.1721,0.1343,-0.0378,5.467468562055767,False,-0.018290000000000008
Leeds United,False,0.1011,0.0433,-0.0578,5.580357142857142,False,-0.017920000000000002
Tottenham,False,0.1376,0.1793,0.04169999999999999,6.422607578676938,False,0.015570000000000014
Everton,False,0.0861,0.0412,-0.044899999999999995,7.38552437223043,False,-0.013539999999999998
Brentford,False,0.0942,0.0535,-0.04070000000000001,8.090614886731387,False,-0.012360000000000006
Aston Villa,False,0.0443,0.0729,0.028600000000000007,10.752688172043007,False,0.009300000000000004
Chelsea,False,0.0353,0.0142,-0.021099999999999997,14.164305949008499,False,-0.00706
Brighton,False,0.0603,0.0358,-0.0245,15.197568389057752,False,-0.00658
Manchester Utd,False,0.0774,0.0651,-0.012299999999999991,19.723865877712033,False,-0.00507
Liverpool,False,0.0348,0.0205,-0.014299999999999997,22.026431718061694,False,-0.004539999999999996
Bournemouth,False,0.0699,0.0611,-0.008800000000000002,36.90036900369006,False,-0.0027099999999999984
Crystal Palace,False,0.178,0.1652,-0.012799999999999978,181.8181818181898,False,-0.0005499999999999759
Manchester City,False,0.002,0.0004,-0.0016,192.3076923076923,False,-0.0005200000000000001
Nott'ham Forest,False,0.1087,0.1111,0.0023999999999999994,1111.1111111110579,False,-9.000000000000432e-05
Arsenal,False,0.0001,0.0,-0.0001,3333.333333333332,False,-3.000000000000001e-05
