run_date,series,matchday,team,exp_points,exp_rank,P_title,P_top4,P_bottom3
2026-09-02,preseason,3,Arsenal,74.3829,2.7792,0.3358,0.8382,0.0001
2026-09-02,preseason,3,Manchester City,72.5634,3.4726,0.3093,0.7454,0.002
2026-09-02,preseason,3,Liverpool,59.4669,7.5439,0.0571,0.3301,0.0348
2026-09-02,preseason,3,Chelsea,58.5399,7.8979,0.0509,0.2974,0.0353
2026-09-02,preseason,3,Manchester Utd,57.6095,8.4502,0.0733,0.3092,0.0774
2026-09-02,preseason,3,Bournemouth,54.1691,9.6212,0.0216,0.1842,0.0699
2026-09-02,preseason,3,Aston Villa,53.827,9.7055,0.0109,0.1352,0.0443
2026-09-02,preseason,3,Brentford,52.3061,10.3504,0.0156,0.1505,0.0942
2026-09-02,preseason,3,Newcastle Utd,52.4132,10.3761,0.0418,0.1992,0.1439
2026-09-02,preseason,3,Brighton,51.7732,10.5473,0.0059,0.0941,0.0603
2026-09-02,preseason,3,Nott'ham Forest,51.1214,10.8328,0.0134,0.1295,0.1087
2026-09-02,preseason,3,Tottenham,49.762,11.4025,0.0121,0.1081,0.1376
2026-09-02,preseason,3,Everton,49.6537,11.4741,0.0035,0.0639,0.0861
2026-09-02,preseason,3,Leeds United,49.432,11.5612,0.0038,0.0686,0.1011
2026-09-02,preseason,3,Fulham,47.4197,12.2389,0.016,0.1092,0.2144
2026-09-02,preseason,3,Crystal Palace,47.0109,12.5339,0.0044,0.0655,0.178
2026-09-02,preseason,3,Sunderland,45.4614,13.2577,0.0012,0.0279,0.1721
2026-09-02,preseason,3,Coventry City,39.2717,15.001,0.0076,0.0491,0.4373
2026-09-02,preseason,3,Ipswich Town,37.7592,15.4363,0.0059,0.0403,0.4791
2026-09-02,preseason,3,Hull City,36.4972,15.5173,0.0099,0.0544,0.5234
2026-09-02,weekly,3,Arsenal,77.997,2.193,0.425,0.9214,0.0
2026-09-02,weekly,3,Manchester City,75.7832,2.7954,0.3437,0.841,0.0004
2026-09-02,weekly,3,Chelsea,61.4452,6.7618,0.0506,0.3768,0.0142
2026-09-02,weekly,3,Liverpool,60.0162,7.2061,0.0439,0.3377,0.0205
2026-09-02,weekly,3,Manchester Utd,56.8929,8.554,0.0447,0.283,0.0651
2026-09-02,weekly,3,Newcastle Utd,54.3725,9.5109,0.0316,0.2192,0.0845
2026-09-02,weekly,3,Brentford,53.9014,9.5413,0.0121,0.166,0.0535
2026-09-02,weekly,3,Brighton,53.2365,9.7273,0.0043,0.111,0.0358
2026-09-02,weekly,3,Bournemouth,52.8261,9.9624,0.0094,0.1465,0.0611
2026-09-02,weekly,3,Leeds United,52.0971,10.295,0.0038,0.0892,0.0433
2026-09-02,weekly,3,Everton,51.9508,10.3156,0.0035,0.0902,0.0412
2026-09-02,weekly,3,Aston Villa,49.8597,11.2548,0.0019,0.0637,0.0729
2026-09-02,weekly,3,Nott'ham Forest,48.9323,11.5771,0.0037,0.0762,0.1111
2026-09-02,weekly,3,Crystal Palace,46.4404,12.6752,0.0023,0.0462,0.1652
2026-09-02,weekly,3,Tottenham,45.7833,12.9194,0.0025,0.0478,0.1793
2026-09-02,weekly,3,Sunderland,45.605,13.0565,0.0005,0.0212,0.1343
2026-09-02,weekly,3,Hull City,42.8781,13.692,0.0121,0.0868,0.3467
2026-09-02,weekly,3,Fulham,42.6811,13.8258,0.0032,0.052,0.3001
2026-09-02,weekly,3,Ipswich Town,34.4502,16.4949,0.001,0.0171,0.5699
2026-09-02,weekly,3,Coventry City,29.8469,17.6415,0.0002,0.007,0.7009
